num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.03530552,30.73062196,0.01900917,0.0,0.54852116,0.0,0,7,44.67514252662659
100000,0.05483037,-7.57711254,0.00493015,-1.94699209,0.88396359,0.68843967,0,15,29.053707122802734
150000,0.04500666,11.69699283,0.00789971,1.16275513,0.80360973,-0.23504398,0,23,13.249363899230957
200000,0.04660548,8.56010899,0.00442773,-2.01242645,0.88660398,0.34164336,0,30,57.49190831184387
250000,0.05089333,0.14736843,0.00520868,0.72795932,0.87343992,-0.06703785,0,38,42.7122004032135
300000,0.05510365,-8.11327418,0.00421098,-1.16624204,0.90028835,0.16605691,0,46,27.95676589012146
350000,0.03851261,24.43830576,0.009411,5.21686845,0.75539558,-1.1383248,0,54,12.61855149269104
400000,0.05138337,-0.8141001,0.00216743,-10.99619389,0.94528407,1.67933489,1,1,57.317858934402466
450000,0.05731797,-12.45777646,0.00483653,6.81469435,0.88855906,-0.52540986,1,9,42.92494606971741
500000,0.05103213,-0.12496764,0.00124462,-12.88307342,0.96814435,0.81415776,1,17,28.474692344665527
550000,0.05440928,-6.75093917,0.00266145,7.97439294,0.93547646,-0.36014218,1,25,14.025085687637329
600000,0.05098397,-0.03047924,0.00082599,-13.44701968,0.97879483,0.52023159,1,33,0.6586885452270508
650000,0.05002234,1.85623363,0.00099828,2.36687559,0.97412789,-0.05971126,1,40,46.71235156059265
700000,0.05650238,-10.85758382,0.00420543,19.40544298,0.90180331,-1.04099681,1,48,30.757974863052368
750000,0.05270224,-3.40172922,0.00168838,-13.22755581,0.95790514,0.87476165,1,56,16.645596742630005
800000,0.04452618,12.63969461,0.00484821,16.34434841,0.87393844,-1.42145829,2,4,2.7145090103149414
850000,0.06126091,-20.19382299,0.00780053,7.84470239,0.83165437,-0.81803404,2,11,48.825854539871216
900000,0.05084739,0.23749247,0.00053032,-47.03535631,0.98612888,2.98066567,2,19,34.52558445930481
950000,0.0501081,1.68798755,0.00081431,7.93198764,0.97843362,-0.14489574,2,27,20.51848554611206
1000000,0.05334177,-4.65648275,0.00183092,15.79607496,0.95478554,-0.47698625,2,35,5.972102165222168
1050000,0.05094849,0.0391323,0.00039442,-31.4644877,0.9895533,0.73307561,2,42,51.312870502471924
1100000,0.05141518,-0.87651045,0.00049477,4.87266983,0.98724227,-0.05026135,2,50,36.71280264854431
1150000,0.05190534,-1.8381972,0.00077674,10.14611435,0.98008807,-0.16361635,2,58,22.141993761062622
1200000,0.04540161,10.92210069,0.0041835,39.56327717,0.89093937,-2.24076412,3,6,7.701967477798462
1250000,0.0477335,6.34694198,0.00255202,-12.1077625,0.93359291,1.14556158,3,13,53.02109408378601
1300000,0.02956723,41.98914353,0.0161487,47.04030601,0.58024206,-12.12612131,3,21,38.862595319747925
1350000,0.04608752,9.57635025,0.00366587,-39.28884412,0.90471793,11.76931622,3,29,24.78704023361206
1400000,0.05088854,0.15675181,0.00047334,-56.28648946,0.98830744,2.4299239,3,37,10.162798881530762
1450000,0.07319651,-43.61145185,0.01681963,101.74846682,0.69619695,-9.98427049,3,44,56.223565101623535
1500000,0.04936913,3.13782798,0.00131707,-75.13334813,0.96584873,9.65662682,3,52,42.133139848709106
1550000,0.05269012,-3.37794345,0.0013385,0.49222625,0.96642973,0.01833992,4,0,26.95189905166626
1600000,0.05098475,-0.03200677,0.00047931,-32.34643774,0.98717048,0.66881985,4,8,12.099308490753174
1650000,0.05033065,1.25133332,0.00052948,3.23504899,0.98608712,-0.03568356,4,15,56.04141068458557
1700000,0.05096529,0.00618138,0.0003745,-11.60030876,0.99055156,0.15131535,4,23,41.67208456993103
1750000,0.05025024,1.40910494,0.00063815,18.38657644,0.98327833,-0.2542367,4,31,26.85513138771057
1800000,0.0495502,2.78256907,0.00108729,18.91564384,0.97155649,-0.42571657,4,39,11.50847339630127
1850000,0.04894549,3.96902037,0.00151701,12.15567153,0.96040508,-0.42133915,4,46,57.27210569381714
1900000,0.05470135,-7.32397965,0.00285425,23.70113856,0.93119302,-1.15825283,4,54,42.76073169708252
1950000,0.05017828,1.55029199,0.00068782,-54.78385246,0.98227023,2.0557795,5,2,28.36150026321411
2000000,0.05094137,0.05309825,0.0003803,-23.40513686,0.99018443,0.31696128,5,10,13.965827941894531
