num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.05581792,21.03380358,0.01577624,0.0,0.78966616,0.0,0,9,16.69882869720459
100000,0.07872927,-11.37912634,0.00853346,-0.88655068,0.8978646,0.18525503,0,19,11.52778935432434
150000,0.07940416,-12.33391021,0.00924955,0.19873472,0.89022445,-0.02107618,0,28,59.64317989349365
200000,0.07384816,-4.47377942,0.00335445,-3.52572223,0.95720744,0.25217597,0,38,38.08127546310425
250000,0.07370825,-4.27583643,0.00320599,-0.20285994,0.95901759,0.00846669,0,48,22.52751326560974
300000,0.07144487,-1.07381734,0.00110493,-5.84263852,0.98546464,0.14920797,0,55,22.561965465545654
350000,0.07184316,-1.63727829,0.00125894,0.84649716,0.98349329,-0.01299009,1,2,1.9481480121612549
400000,0.07215858,-2.08351545,0.00164884,2.02051299,0.97848616,-0.03822451,1,8,35.53398084640503
450000,0.07053774,0.20950785,0.00053093,-9.62105533,0.99293002,0.12441134,1,15,10.366121768951416
500000,0.06721297,4.91309294,0.0036857,18.39005388,0.95081248,-0.41138112,1,21,42.8106153011322
550000,0.06970658,1.38536479,0.00103991,-13.27587776,0.98610118,0.3823527,1,28,20.541964054107666
600000,0.06976708,1.29976782,0.00097571,-0.73236444,0.98703225,0.01084626,1,34,59.07192540168762
650000,0.06979767,1.25649729,0.00094326,-0.42256755,0.98739335,0.00456978,1,41,37.58814811706543
700000,0.07212533,-2.03646858,0.00152647,6.49553867,0.98003636,-0.10091786,1,48,16.02750301361084
750000,0.06999331,0.97972326,0.00073568,-10.57961354,0.99018657,0.14934451,1,54,54.90514826774597
800000,0.07011699,0.80475298,0.00060445,-3.04432585,0.99191773,0.02706586,2,1,32.87287402153015
850000,0.07024567,0.62270206,0.0004698,-4.15692294,0.99365603,0.0288815,2,8,10.064909934997559
900000,0.07105737,-0.52561908,0.00050804,1.36905675,0.99322586,-0.00757562,2,14,47.07351875305176
950000,0.07165152,-1.36616876,0.00102374,12.9590104,0.98651561,-0.12537987,2,21,24.09272837638855
1000000,0.07015714,0.74795057,0.00063808,-9.21668622,0.99146188,0.09750498,2,28,1.7032146453857422
1050000,0.07072048,-0.04901388,0.00032996,-13.51690947,0.99559604,0.08528548,2,34,39.44105887413025
1100000,0.07089977,-0.30265785,0.00030329,-1.8117361,0.99602759,0.00931567,2,41,15.616618394851685
1150000,0.07067277,0.01848814,0.00018516,-11.10122746,0.99750705,0.03339032,2,47,53.11906909942627
1200000,0.07123433,-0.77595876,0.00058108,26.87214488,0.99232404,-0.12240499,2,54,26.729232788085938
1250000,0.07082325,-0.19440286,0.00025726,-19.95985752,0.99659979,0.10532479,3,1,2.9138565063476562
1300000,0.07074951,-0.09008155,0.00023874,-1.90491572,0.99686612,0.0068128,3,7,41.002941608428955
1350000,0.07072649,-0.05751064,0.00020982,-3.42140835,0.99723971,0.00992822,3,14,13.429028749465942
1400000,0.07070458,-0.02651321,0.00027579,7.51738784,0.99632539,-0.02522218,3,20,45.3535795211792
1450000,0.07109274,-0.57565555,0.00043086,12.71378527,0.99434658,-0.05665455,3,27,22.730106592178345
1500000,0.0703778,0.43577338,0.00050237,4.52940001,0.99326384,-0.03213686,3,34,0.1319434642791748
1550000,0.07084049,-0.2187917,0.00028547,-17.23705426,0.99627245,0.09223702,3,40,37.118815422058105
1600000,0.07067243,0.01896018,0.00025679,-3.33488679,0.9965927,0.01012314,3,47,14.508261680603027
1650000,0.07088086,-0.2759088,0.00026552,1.08643923,0.99646391,-0.00419993,3,53,50.96433401107788
1700000,0.07085773,-0.24318054,0.00024428,-2.79285707,0.99679443,0.01110904,4,1,18.975865602493286
1750000,0.07060648,0.11226718,0.0001186,-24.92652704,0.99842497,0.05638448,4,9,30.14571189880371
1800000,0.07048302,0.28692276,0.00022717,23.07142053,0.99699107,-0.05101702,4,16,7.027281045913696
1850000,0.07081035,-0.17615056,0.00037716,18.50327904,0.99496872,-0.07410911,4,24,6.981511116027832
1900000,0.07056166,0.17567817,0.00018646,-26.41541304,0.99749087,0.09493299,4,33,54.41215133666992
1950000,0.07003046,0.92716923,0.00070145,51.00704802,0.9906188,-0.26614314,4,43,32.048415422439575
2000000,0.07056544,0.17032836,0.00025632,-39.76343283,0.99660788,0.23807726,4,51,37.23837757110596
