num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.11929871,0.58440556,0.01877565,0.0,0.77701832,0.0,0,4,7.140547513961792
100000,0.12764717,-6.37264235,0.01446627,-0.37616987,0.82925766,0.09387182,0,11,13.643912553787231
150000,0.12688808,-5.74006548,0.01287489,-0.28742505,0.84609831,0.04958415,0,15,31.943776845932007
200000,0.127813,-6.51083606,0.01208632,-0.21970319,0.8552703,0.03747888,0,19,38.923903465270996
250000,0.12700597,-5.83831185,0.01107364,-0.3921544,0.86622923,0.0570575,0,23,45.98458123207092
300000,0.12616602,-5.13835281,0.01010462,-0.50227064,0.87684632,0.06681695,0,27,53.36218523979187
350000,0.12874694,-7.28911414,0.0104624,0.22572157,0.87395183,-0.02144969,0,31,58.920814037323
400000,0.12772725,-6.43937573,0.00965521,-0.60128342,0.88265686,0.07422418,0,36,4.739235162734985
450000,0.12618248,-5.15207023,0.00881444,-0.77351021,0.89168686,0.08641736,0,40,11.069335699081421
500000,0.12722119,-6.01765782,0.00889862,0.09021333,0.89115818,-0.005629,0,44,16.659911155700684
550000,0.12702566,-5.85471714,0.00859721,-0.36154036,0.89460376,0.04048834,0,48,32.56706953048706
600000,0.12517225,-4.31021006,0.00778181,-1.14523843,0.90341699,0.11266729,0,52,47.87170362472534
650000,0.12454785,-3.78987504,0.00737599,-0.66912814,0.90791297,0.06202059,0,57,2.7884907722473145
700000,0.12650937,-5.42447219,0.00781365,0.77781205,0.9035083,-0.06562357,1,1,17.967739820480347
750000,0.12586617,-4.88847336,0.00751314,-0.56844592,0.9068091,0.05285557,1,5,31.095979690551758
800000,0.12562126,-4.68438043,0.0073559,-0.32772327,0.90864898,0.03140613,1,9,42.235360622406006
850000,0.12566619,-4.72182527,0.00718837,-0.38001507,0.91064637,0.03621936,1,13,53.386770248413086
900000,0.12303133,-2.52611159,0.00625327,-2.43813476,0.92099925,0.19777627,1,18,4.487293720245361
950000,0.12624722,-5.20601304,0.00734311,2.97144791,0.90891711,-0.24423893,1,22,16.006638765335083
1000000,0.12501877,-4.18230441,0.0067498,-1.64250678,0.91567073,0.14432555,1,26,26.89495873451233
1050000,0.12510507,-4.25422816,0.00660216,-0.45328822,0.91747909,0.04043755,1,30,38.358588218688965
1100000,0.12501398,-4.17831894,0.00668648,0.27280105,0.91647639,-0.02350566,1,34,49.39468789100647
1150000,0.12399085,-3.32570728,0.00619772,-1.70760596,0.92187134,0.13203894,1,39,1.0696423053741455
1200000,0.12481634,-4.01361724,0.00647842,1.04077942,0.91874609,-0.07979101,1,43,12.606946468353271
1250000,0.12408561,-3.40467512,0.00614225,-1.3053142,0.92264392,0.1037083,1,47,23.318845510482788
1300000,0.12322197,-2.68497412,0.00578502,-1.52774649,0.92666018,0.11074616,1,51,34.60075759887695
1350000,0.12321619,-2.68015448,0.00564905,-0.63021255,0.92832638,0.04760042,1,55,46.19863677024841
1400000,0.12402377,-3.35314212,0.00596527,1.49767549,0.92475556,-0.10597141,1,59,57.57089066505432
1450000,0.1236881,-3.07341802,0.00577939,-0.9021085,0.92683703,0.06407007,2,4,10.041278600692749
1500000,0.12469711,-3.91425865,0.00611667,1.67307062,0.92299906,-0.12239942,2,8,23.351990699768066
1550000,0.12407404,-3.39503585,0.00583069,-1.46028493,0.92638422,0.11164613,2,12,39.669366121292114
1600000,0.12358745,-2.98953786,0.0056243,-1.13512845,0.9287184,0.07926304,2,16,54.49218511581421
1650000,0.12441694,-3.68078449,0.00589652,1.53601894,0.92566011,-0.10719136,2,21,9.438658475875854
1700000,0.12344108,-2.86756407,0.00542396,-2.79825389,0.93124236,0.20140212,2,25,23.89327335357666
1750000,0.12220028,-1.83356737,0.00512756,-1.93863534,0.934607,0.12441742,2,29,36.23710346221924
1800000,0.12388118,-3.23431962,0.00552691,2.6622876,0.92995127,-0.1772729,2,33,47.984886169433594
1850000,0.1234492,-2.87433009,0.00536467,-1.08741387,0.93190421,0.0765665,2,37,59.60481357574463
1900000,0.12318404,-2.65336845,0.00526109,-0.73108048,0.93317267,0.05100534,2,42,11.198820352554321
1950000,0.12202811,-1.69009059,0.00479403,-3.57902194,0.93849812,0.21907576,2,46,21.995290756225586
2000000,0.12267031,-2.22525525,0.00493834,1.17142244,0.9369087,-0.06694948,2,50,31.54759907722473
