num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.07297295,-3.23561293,0.00398498,0.0,0.94901358,0.0,0,4,6.882211208343506
100000,0.07357522,-4.08764896,0.00345193,-0.20716927,0.95586913,0.01038438,0,9,47.23263621330261
150000,0.07669423,-8.50014141,0.00637422,1.51265355,0.92167086,-0.08985443,0,15,53.865742683410645
200000,0.07698307,-8.90877254,0.00668069,0.16323417,0.91822538,-0.01301889,0,21,56.924628019332886
250000,0.07901956,-11.78980299,0.00884147,1.25583677,0.89459733,-0.11682689,0,26,14.085265874862671
300000,0.07686763,-8.74544597,0.0065582,-1.63851704,0.91959748,0.15117437,0,30,44.199110984802246
350000,0.07525312,-6.46139147,0.00484516,-1.96389602,0.9392967,0.13749762,0,37,44.91468071937561
400000,0.07578221,-7.20989293,0.00540653,0.82098458,0.9327768,-0.05216346,0,42,3.464557647705078
450000,0.07458779,-5.52013947,0.00413922,-2.26772995,0.94770463,0.13479817,0,46,8.184726476669312
500000,0.07550949,-6.82407717,0.00511717,2.01303293,0.93613707,-0.11656144,0,51,11.002696990966797
550000,0.07514613,-6.31002329,0.00473163,-0.82186184,0.94066363,0.05061062,0,55,35.185352087020874
600000,0.07451628,-5.41896511,0.00406334,-1.74993733,0.94864992,0.09716225,0,59,43.893964767456055
650000,0.07503902,-6.15849777,0.00461799,1.59857473,0.94201569,-0.08767703,1,3,52.26591205596924
700000,0.0756305,-6.99527111,0.00524557,1.71944207,0.93465953,-0.10578628,1,7,56.22220468521118
750000,0.07497985,-6.07478897,0.00455521,-2.04531678,0.94277027,0.12523486,1,12,3.6810264587402344
800000,0.07319351,-3.54763277,0.00265984,-8.33619446,0.96580516,0.37403211,1,16,6.523727893829346
850000,0.07418227,-4.94645094,0.00370895,5.48428736,0.95292232,-0.22150615,1,20,14.120105504989624
900000,0.07397006,-4.64623215,0.00348379,-1.09569234,0.95563683,0.04976637,1,24,29.118290424346924
950000,0.07348747,-3.96350189,0.00297174,-2.94028689,0.96188488,0.12053181,1,28,42.917964935302734
1000000,0.07348714,-3.96302984,0.00297139,-0.00229627,0.96190781,0.00046475,1,32,55.813576459884644
1050000,0.0738337,-4.45332426,0.00333911,2.39135181,0.95738912,-0.09650924,1,37,19.27024745941162
1100000,0.07341061,-3.85477485,0.0028902,-3.10358022,0.96293418,0.12414329,1,44,17.640058994293213
1150000,0.07238248,-2.40025571,0.00179931,-10.66149953,0.9765837,0.31664437,1,50,21.421523332595825
1200000,0.07188398,-1.69502478,0.0014533,-5.01805358,0.98102494,0.10661331,1,56,25.53177499771118
1250000,0.07346678,-3.93423527,0.00294979,17.34107206,0.96217321,-0.47531719,2,3,30.825917720794678
1300000,0.07295293,-3.2072904,0.00240458,-5.21047969,0.96894252,0.17875261,2,9,58.29555654525757
1350000,0.07234566,-2.34817373,0.00176025,-8.26488333,0.97708704,0.22179049,2,14,11.058887004852295
1400000,0.07282436,-3.02539683,0.00226816,6.97084157,0.97064059,-0.18201568,2,18,23.537222146987915
1450000,0.07229138,-2.27138821,0.00170266,-8.17231149,0.97785148,0.2109223,2,22,35.081918716430664
1500000,0.07171926,-1.46199331,0.00122401,-9.73581927,0.9839696,0.18397992,2,26,45.324748277664185
1550000,0.07250237,-2.56987618,0.00192652,13.83303945,0.97496574,-0.28035133,2,30,57.289904832839966
1600000,0.07222409,-2.17619305,0.00163126,-5.23998,0.97869849,0.12036039,2,35,6.789268493652344
1650000,0.07179133,-1.56395441,0.00117208,-10.74276748,0.98462085,0.19605786,2,39,15.778180122375488
1700000,0.07039871,0.40619207,0.0009678,-6.41510097,0.98710339,0.08435151,2,43,26.97115468978882
1750000,0.0719318,-1.76268415,0.00132113,10.73624354,0.98275046,-0.15246391,2,47,37.09599471092224
1800000,0.07190411,-1.72350465,0.00129174,-0.79860078,0.98316093,0.01482338,2,51,46.84404802322388
1850000,0.07102367,-0.47794283,0.00084165,-15.63493479,0.98888362,0.21182656,2,56,9.497447490692139
1900000,0.07111343,-0.60492216,0.0008354,-0.27949339,0.98892227,0.00146555,3,2,1.1930994987487793
1950000,0.0719536,-1.79352423,0.00134426,18.31296998,0.982354,-0.25654964,3,6,12.19639778137207
2000000,0.07153552,-1.20205545,0.00111968,-7.22024378,0.98527937,0.11744671,3,10,20.21033763885498
