num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.0,100.0,0.07500089,0.0,0.0,0.0,0,4,29.97240424156189
100000,0.0288653,59.16395039,0.04437385,-0.75719798,0.40836549,inf,0,9,2.9200944900512695
150000,0.04696696,33.55535036,0.0251674,-1.39864273,0.66444932,1.20058672,0,13,35.08750653266907
200000,0.06208385,12.1693245,0.00912788,-3.5254753,0.87821008,0.96956764,0,18,7.306596517562866
250000,0.06809497,3.66532826,0.00356274,-4.21613598,0.9526742,0.36472997,0,22,37.231788635253906
300000,0.07272537,-2.88535767,0.00319218,-0.60237442,0.95893923,0.03595147,0,27,6.926105260848999
350000,0.07315525,-3.49350528,0.00323738,0.09121135,0.95847629,-0.00313251,0,31,37.09420943260193
400000,0.07511866,-6.27115849,0.00470248,2.79578952,0.94107417,-0.13721769,0,36,6.836592435836792
450000,0.07726803,-9.31189652,0.00698304,3.35697175,0.91483815,-0.24005828,0,40,36.36076784133911
500000,0.07767866,-9.89282303,0.00741873,0.57444225,0.90995777,-0.05076828,0,47,18.973958253860474
550000,0.07789921,-10.20484287,0.00765275,0.32585372,0.90743793,-0.02909474,0,54,35.92154359817505
600000,0.07775485,-10.00060598,0.00749957,-0.23237622,0.90909676,0.02098999,1,1,56.78796601295471
650000,0.07699998,-8.93268934,0.00669863,-1.41102995,0.91800753,0.12186067,1,7,24.557324409484863
700000,0.0762787,-7.91229162,0.00593333,-1.63703604,0.92673885,0.12773548,1,11,54.890233755111694
750000,0.07599164,-7.50617804,0.00562875,-0.76382115,0.9302272,0.05445558,1,16,27.915974140167236
800000,0.07552317,-6.8434309,0.00513169,-1.43251428,0.93593546,0.09479089,1,21,0.5860321521759033
850000,0.0753292,-6.56901707,0.00492588,-0.67517288,0.93837619,0.04295949,1,25,31.796081066131592
900000,0.07385339,-4.48117475,0.00336,-6.69301227,0.95715554,0.34666782,1,30,2.155573606491089
950000,0.0742648,-5.06320269,0.00379652,2.25911154,0.95185303,-0.10274736,1,34,31.87898898124695
1000000,0.07355654,-4.06121461,0.00304503,-4.30025224,0.96105036,0.18747419,1,39,43.266777753829956
1050000,0.07338437,-3.81764087,0.00286235,-1.26803811,0.96325927,0.04705448,1,44,22.445769786834717
1100000,0.07336268,-3.78695813,0.00283933,-0.17357812,0.96352212,0.00586497,1,48,21.729406356811523
1150000,0.0727137,-2.8688362,0.00215074,-6.24848429,0.97215721,0.20071385,1,52,33.6030752658844
1200000,0.07275095,-2.92154757,0.00219028,0.42804477,0.97163221,-0.01269236,1,56,40.87374019622803
1250000,0.07249114,-2.5539841,0.0019146,-3.29529871,0.97511383,0.08762102,2,0,48.32048153877258
1300000,0.07222498,-2.17745183,0.0016322,-4.06876654,0.9787324,0.09444122,2,4,59.53280711174011
1350000,0.07180734,-1.58661243,0.00118907,-8.3930725,0.98442183,0.15358184,2,12,13.351064205169678
1400000,0.07164741,-1.36034691,0.00102575,-4.06260675,0.98649446,0.05783205,2,19,30.125273942947388
1450000,0.0712132,-0.74606276,0.00066818,-12.21446601,0.9912346,0.13660151,2,24,2.8377506732940674
1500000,0.07107595,-0.55189609,0.00056102,-5.15613694,0.99258162,0.04005743,2,28,19.54379105567932
1550000,0.07095205,-0.37661112,0.00053671,-1.3509876,0.99289452,0.0096124,2,32,36.081578493118286
1600000,0.07092947,-0.3446696,0.00050756,-1.75890615,0.99326183,0.01164993,2,36,51.47669720649719
1650000,0.0705611,0.17646491,0.00045611,-3.4733559,0.99390976,0.02119199,2,42,10.602575540542603
1700000,0.07049392,0.27150272,0.0004174,-2.97086133,0.99448506,0.01938359,2,49,31.53896927833557
1750000,0.07077376,-0.12438328,0.00074854,20.14933696,0.99012491,-0.15158131,2,55,14.676950693130493
1800000,0.07049603,0.26851312,0.00041469,-20.96467888,0.99450979,0.15685829,2,59,15.220808029174805
1850000,0.07067677,0.01282364,0.00046626,4.27797641,0.99385505,-0.02403635,3,3,23.60491371154785
1900000,0.06999209,0.98145408,0.00073698,17.16713269,0.99009098,-0.14228656,3,9,47.06656837463379
1950000,0.07001978,0.94227458,0.00070759,-1.56670502,0.99054413,0.01761586,3,16,15.691481113433838
2000000,0.07012933,0.78728742,0.00059135,-7.08816385,0.99205579,0.06023141,3,22,10.748011827468872
