num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.0776731,35.27241823,0.05124311,0.0,0.41388427,0.0,0,6,28.605119228363037
100000,0.10700809,10.82658962,0.02882701,-0.82993683,0.66240508,0.67848632,0,12,53.411332845687866
150000,0.13042372,-8.68643704,0.01967397,-0.94216825,0.77683714,0.39301398,0,19,25.42277979850769
200000,0.12124065,-1.03387899,0.01275324,-1.50691032,0.8440997,0.28865159,0,25,57.02858591079712
250000,0.10327436,13.93803362,0.0107805,-0.75308656,0.85664279,0.06610275,0,32,27.671530961990356
300000,0.1301836,-8.48632958,0.0109271,0.07408337,0.86942545,0.08123874,0,38,56.558512449264526
350000,0.12026323,-0.21936097,0.0068369,-3.04190374,0.91294529,0.31685468,0,45,33.52139663696289
400000,0.12062949,-0.52457352,0.00560519,-1.48760119,0.9282765,0.12471738,0,52,9.616506814956665
450000,0.1211757,-0.9797508,0.0040063,-2.85121563,0.94829067,0.18110781,0,58,46.359962463378906
500000,0.12233441,-1.94534579,0.00337122,-1.63812244,0.95627707,0.07959931,1,5,18.91288661956787
550000,0.11945999,0.45001194,0.00230404,-3.99338868,0.96996646,0.14913203,1,11,58.68519139289856
600000,0.11884292,0.96422973,0.00210606,-1.03256842,0.97197165,0.02373418,1,18,38.62999224662781
650000,0.1193293,0.55891711,0.00185018,-1.6183357,0.97561459,0.04673735,1,25,18.75363063812256
700000,0.11895415,0.87154447,0.00155287,-2.36382261,0.97957835,0.0547121,1,31,58.37370443344116
750000,0.11872725,1.06062239,0.00152868,-0.22756284,0.97979283,0.00317319,1,38,37.98596549034119
800000,0.11910252,0.74790234,0.00135086,-1.91611442,0.98221514,0.03825958,1,45,18.02955389022827
850000,0.12091444,-0.76203314,0.00125292,-1.24148568,0.98358187,0.02293639,1,51,58.03119254112244
900000,0.11992256,0.06453396,0.00095707,-4.71243959,0.98724889,0.06510499,1,58,37.59924125671387
950000,0.12057666,-0.48054802,0.00128497,5.44903381,0.9831488,-0.07697259,2,5,17.27993941307068
1000000,0.11980444,0.1629657,0.00086531,-7.70866507,0.98853245,0.10646592,2,11,57.12224197387695
1050000,0.12060958,-0.50798286,0.00106739,4.30176603,0.98578727,-0.05699691,2,18,36.51369905471802
1100000,0.12016158,-0.13464665,0.00077682,-6.83067337,0.98987567,0.08896748,2,25,16.45706272125244
1150000,0.12031529,-0.26273767,0.0007796,0.08036362,0.98972379,-0.00345195,2,31,56.66291904449463
1200000,0.11931684,0.56929786,0.00082054,1.20258826,0.98951697,-0.00491051,2,38,36.04357933998108
1250000,0.12020862,-0.17385251,0.00053428,-10.51008455,0.99286149,0.08265772,2,45,12.629613876342773
1300000,0.12030839,-0.25699119,0.00054784,0.63903038,0.99239198,-0.01205989,2,51,51.86809682846069
1350000,0.1200994,-0.08283559,0.00049758,-2.54971091,0.9934088,0.02713518,2,58,30.08698844909668
1400000,0.12014022,-0.11685108,0.00045608,-2.39465923,0.99393339,0.01451651,3,5,9.586066961288452
1450000,0.12033419,-0.27849417,0.00054645,5.15154689,0.99316893,-0.02192627,3,11,49.42122960090637
1500000,0.11981567,0.15360449,0.00048319,-3.62912182,0.99379495,0.01858697,3,18,28.618166208267212
1550000,0.11934131,0.5489071,0.00065621,9.33432639,0.99115667,-0.08107037,3,25,8.306620121002197
1600000,0.12001254,-0.01044841,0.00058718,-3.50091339,0.9928664,0.05428564,3,31,48.36674523353577
1650000,0.12004012,-0.03343435,0.00040381,-12.16661573,0.99422666,0.0444921,3,38,28.26742434501648
1700000,0.11985883,0.11764261,0.00041062,0.56020376,0.99436821,0.00476877,3,45,8.084225416183472
1750000,0.12025244,-0.2103705,0.00036759,-3.81888349,0.99505053,0.02366359,3,51,47.793766498565674
1800000,0.1198704,0.10800335,0.00051572,12.01935589,0.99371752,-0.04758597,3,58,25.599977731704712
1850000,0.11982413,0.14656041,0.00039866,-9.39652184,0.99487614,0.04252954,4,5,5.291581630706787
1900000,0.12003612,-0.03009768,0.00039227,-0.60590953,0.99514106,0.00998374,4,11,45.09954810142517
1950000,0.12049813,-0.41511223,0.00053352,11.83986222,0.99355434,-0.06143253,4,18,24.62214708328247
2000000,0.11987006,0.1082814,0.00032658,-19.38641832,0.99557377,0.08019921,4,25,3.6829824447631836
