num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.00108564,98.46413227,0.07384898,0.0,0.01535738,0.0,0,8,52.88502359390259
100000,0.02454276,65.27909878,0.04896021,-0.59296825,0.34714483,4.49853367,0,17,38.06774091720581
150000,0.04349515,38.46694868,0.02885275,-1.30418773,0.61526942,1.41151032,0,27,33.049842834472656
200000,0.05006194,29.17684495,0.0222444,-0.90417528,0.70417238,0.46913918,0,36,39.39827489852905
250000,0.06340461,10.30082442,0.01464617,-1.87283666,0.81328889,0.64560773,0,45,24.582719564437866
300000,0.06695705,5.27514925,0.01377525,-0.33624858,0.82762757,0.09585742,0,54,13.259137868881226
350000,0.0674808,4.53420046,0.01316219,-0.29532908,0.83524848,0.05946132,1,3,0.7506003379821777
400000,0.06873116,2.76530127,0.01207083,-0.64821107,0.84907915,0.12299091,1,11,51.692519426345825
450000,0.06886785,2.57192135,0.01170039,-0.26463593,0.85349438,0.04403476,1,20,42.35993003845215
500000,0.07031241,0.52829364,0.01092364,-0.65197979,0.8638983,0.11499655,1,29,32.503411293029785
550000,0.07328471,-3.67665762,0.01036829,-0.5474456,0.87284168,0.10805912,1,38,21.625410079956055
600000,0.07045332,0.32893451,0.00995584,-0.46652286,0.87530674,0.03241182,1,47,14.12083649635315
650000,0.07324767,-3.62426094,0.00933534,-0.80397224,0.88475969,0.13419944,1,56,2.985369920730591
700000,0.07224011,-2.19885107,0.00838736,-1.4449375,0.89520017,0.15829978,2,4,54.275328159332275
750000,0.07125146,-0.80019025,0.00821495,-0.3010477,0.89657859,0.02230093,2,13,46.0640606880188
800000,0.0736384,-4.17702227,0.00776497,-0.87285967,0.903448,0.11826429,2,22,38.14371991157532
850000,0.07449859,-5.39394687,0.00742959,-0.7282836,0.90799547,0.08281842,2,31,28.42938470840454
900000,0.07194103,-1.77574398,0.00655926,-2.17978204,0.91688276,0.17040751,2,40,20.161519050598145
950000,0.07385105,-4.47787046,0.00642107,-0.39382496,0.91959188,0.05456819,2,49,12.134806871414185
1000000,0.07430718,-5.12315204,0.00632277,-0.30076772,0.92100168,0.02986545,2,58,3.780311346054077
1050000,0.07343264,-3.88592963,0.00563606,-2.35646191,0.92891402,0.17532884,3,6,55.98243808746338
1100000,0.07239393,-2.41646249,0.00501309,-2.51790002,0.93601539,0.16370879,3,15,48.01937532424927
1150000,0.0717891,-1.56080746,0.00473435,-1.28696921,0.93931425,0.07914577,3,24,40.84801197052002
1200000,0.07328404,-3.67571354,0.00479229,0.28580933,0.9391343,-0.00450179,3,33,34.00638270378113
1250000,0.07277086,-2.94971275,0.0043219,-2.53082333,0.94477558,0.14670827,3,42,27.320152521133423
1300000,0.06929328,1.97006764,0.00422029,-0.60659974,0.94469998,-0.0020403,3,51,20.499438524246216
1350000,0.07305515,-3.35189264,0.00418288,-0.2359238,0.94653102,0.05130713,4,0,13.846991062164307
1400000,0.07157611,-1.25948724,0.00362918,-3.9043848,0.95305414,0.18884832,4,9,7.054449081420898
1450000,0.07185272,-1.65081016,0.00347777,-1.21441553,0.95502787,0.05895507,4,18,0.10475397109985352
1500000,0.07263139,-2.75239914,0.00345358,-0.20588761,0.95554516,0.01597279,4,26,53.48461127281189
1550000,0.06630217,6.2016106,0.00498535,11.19531018,0.93372826,-0.70438234,4,35,46.87210130691528
1600000,0.07081869,-0.18795162,0.00307736,-15.19531668,0.95984625,0.86893835,4,44,39.8768355846405
1650000,0.06808462,3.67996156,0.00378542,6.72972363,0.94980749,-0.34167133,4,53,33.39905261993408
1700000,0.06884338,2.60653777,0.00300467,-7.73756022,0.96014779,0.36270767,5,2,26.588441610336304
1750000,0.06906516,2.2927871,0.00258549,-5.1833552,0.96574082,0.20037147,5,11,20.04357075691223
1800000,0.0719714,-1.81869981,0.00251044,-1.04565465,0.96736598,0.05968566,5,20,13.255184412002563
1850000,0.07063806,0.06758052,0.00218213,-5.11539489,0.97126551,0.14682949,5,29,3.33392333984375
1900000,0.07118383,-0.70452305,0.00213882,-0.75172503,0.97194357,0.02616882,5,37,56.982436180114746
1950000,0.0709843,-0.42224186,0.00207864,-1.09874521,0.97272971,0.03112573,5,46,49.75749850273132
2000000,0.06885094,2.59583815,0.00245308,6.54205705,0.96732891,-0.21991166,5,55,41.99453020095825
