num_iter,area,area_loss(%),error_L1,orden_L1,IoU,orden_IoU,tiempo_horas,tiempo_minutos,tiempo_segundos
50000,0.0,100.0,0.07500089,0.0,0.0,0.0,0,4,43.845635414123535
100000,0.0,100.0,0.07500089,0.0,0.0,,0,9,25.590675592422485
150000,0.0,100.0,0.07500089,0.0,0.0,,0,14,2.818521499633789
200000,0.0,100.0,0.07500089,0.0,0.0,,0,18,38.51927947998047
250000,0.0,100.0,0.07500089,0.0,0.0,,0,23,4.493810415267944
300000,0.0,100.0,0.07500089,0.0,0.0,,0,28,0.11770081520080566
350000,0.0,100.0,0.07500089,0.0,0.0,,0,33,12.47287368774414
400000,0.01161528,83.56774156,0.06267669,-1.34433086,0.16429709,inf,0,38,25.344606399536133
450000,0.01627783,76.97158224,0.05772957,-0.69806392,0.23028994,2.86682041,0,43,31.57736849784851
500000,0.01625536,77.00336641,0.05775341,0.00391869,0.229943,-0.01430965,0,48,43.087525844573975
550000,0.02198476,68.89793106,0.05167433,-1.16693994,0.3110171,3.16877424,0,53,57.23545241355896
600000,0.02754832,61.02710066,0.04577121,-1.39413779,0.38977237,2.59408614,0,59,10.779025316238403
650000,0.03083338,56.37968858,0.04228565,-0.98956555,0.43617021,1.40512057,1,4,24.95178508758545
700000,0.03771415,46.64539321,0.03510955,-2.50950885,0.53225093,2.68638431,1,9,37.59835982322693
750000,0.03791746,46.35776221,0.03477228,-0.13990801,0.53637477,0.11186755,1,14,49.49214506149292
800000,0.04076197,42.33360308,0.03213391,-1.22265985,0.5726665,1.01443924,1,20,1.4025979042053223
850000,0.04380457,38.02920828,0.03005362,-1.10398609,0.60332852,0.86034903,1,25,15.118882179260254
900000,0.04547602,35.66459193,0.02841823,-0.97889838,0.62525734,0.62460535,1,30,16.328585863113403
950000,0.04487931,36.5087606,0.0285137,0.0620308,0.62270728,-0.07558658,1,35,3.252647638320923
1000000,0.04717683,33.25843587,0.02644486,-1.46847388,0.65092045,0.86387287,1,40,11.050941705703735
1050000,0.04715136,33.29446841,0.02667368,0.17658274,0.64833588,-0.08154395,1,45,20.591135025024414
1100000,0.05266087,25.50010883,0.02277745,-3.39437332,0.70349788,1.75528676,1,50,32.23296618461609
1150000,0.05281169,25.28674579,0.02258958,-0.18632047,0.705885,0.07620556,1,55,29.874282121658325
1200000,0.05115436,27.63137903,0.02338461,0.81272766,0.69359849,-0.41257625,2,0,10.74695348739624
1250000,0.04914157,30.47889448,0.02438145,1.02259784,0.67814549,-0.55194257,2,4,59.25353193283081
1300000,0.04993982,29.34961237,0.02350711,-0.93113219,0.68965046,0.42893248,2,9,49.5360107421875
1350000,0.0520477,26.36756491,0.0223532,-1.33367789,0.70694984,0.65645498,2,14,44.70495629310608
1400000,0.05375919,23.9463035,0.02087642,-1.87939573,0.72694314,0.76685052,2,19,57.96210598945618
1450000,0.05299721,25.02429037,0.02182156,1.26179864,0.71481111,-0.47960398,2,25,10.481032848358154
1500000,0.05553018,21.44086124,0.02009153,-2.43647074,0.73905083,0.98368284,2,30,23.281961679458618
1550000,0.05889399,16.68204723,0.01877312,-2.06991889,0.75972799,0.8415343,2,35,36.32499098777771
1600000,0.05164263,26.94062405,0.0220747,5.10276344,0.70922003,-2.16684929,2,40,48.39111924171448
1650000,0.05735556,18.85847612,0.01901999,-4.84022089,0.75437598,2.00590663,2,45,58.2174277305603
1700000,0.05756466,18.56266306,0.01852907,-0.87594927,0.76027162,0.26077389,2,51,10.41445016860962
1750000,0.05782904,18.18864834,0.01854193,0.02393456,0.76059061,0.01447124,2,56,22.80088448524475
1800000,0.05888899,16.68912786,0.01787659,-1.29717716,0.76983867,0.42901481,3,1,29.939446687698364
1850000,0.06063073,14.22506796,0.017266,-1.26839734,0.77949066,0.45475181,3,6,40.549638986587524
1900000,0.05935156,16.03472012,0.01781487,1.1734649,0.77123847,-0.39909189,3,11,53.301769733428955
1950000,0.06656611,5.82822528,0.01668551,-2.52133195,0.79435002,1.13670903,3,17,4.165337085723877
2000000,0.06324189,10.53102363,0.01641999,-0.63359289,0.79281316,-0.07649213,3,22,14.9480721950531
